date,userId,leaveTypeId,approved,approvedMinutes,unpaid,unpaidMinutes,deniedMinutes,deniedDays,pending,pendingMinutes,ptoCost,remaining
2023-06-02,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-02,13218870,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-02,13214539,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-03,13214560,4380392,1.0,360.0,1.0,360.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-03,13221175,4380395,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-03,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-03,13218870,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-03,13214539,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-03,13415047,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-03,13226587,4380392,1.0,270.0,1.0,270.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-04,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-04,13415047,4380392,1.0,270.0,1.0,270.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-04,13214539,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-04,13218866,4380392,1.0,360.0,1.0,360.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-04,13214615,4380392,1.0,435.0,1.0,435.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-05,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-05,13214588,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,10.0
2023-06-05,13214543,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-06,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-06,13214543,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-06,13214528,4380395,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-06,13214562,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-06,13214588,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,10.0
2023-06-07,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-07,13214588,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,10.0
2023-06-08,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-08,13221172,4380392,1.0,330.0,1.0,330.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-08,13214588,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,10.0
2023-06-09,13214525,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-09,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-09,13221177,4380395,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-10,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-10,13221177,4380395,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-11,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-11,13214560,4380392,1.0,360.0,1.0,360.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-12,13214528,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-12,13217167,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2023-06-12,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-13,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-13,13214528,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,13217167,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2023-06-13,13221154,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-13,13815384,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-13,13214525,4380391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,480.0,0.0,5.0
