scheduled,scheduledMinutes,lateCount,actual,actualMinutes,group0,group1,group2,date,sickCallout,noShow
1.0,480.0,0.0,1.0,411.0,13221171,13216742,13207005,2023-05-05,,
1.0,510.0,0.0,1.0,420.0,13221172,13208377,13207005,2023-05-05,,
1.0,360.0,0.0,1.0,374.0,13214613,13208376,13207005,2023-05-05,,
1.0,285.0,0.0,1.0,308.0,13214601,13208369,13207005,2023-05-05,,
1.0,420.0,0.0,1.0,419.0,13214605,13216749,13207005,2023-05-05,,
1.0,480.0,0.0,1.0,449.0,13214540,13208372,13207005,2023-05-05,,
1.0,345.0,0.0,1.0,362.0,13218821,13216732,13207005,2023-05-05,,
1.0,480.0,1.0,1.0,318.0,13221181,13207018,13221142,2023-05-05,,
1.0,450.0,1.0,1.0,193.0,13214524,13208368,13207005,2023-05-05,,
1.0,240.0,0.0,1.0,250.0,13214527,13208368,13207005,2023-05-05,,
1.0,420.0,0.0,1.0,424.0,13214525,13208368,13207005,2023-05-05,,
1.0,345.0,1.0,1.0,330.0,13214534,13208370,13207005,2023-05-05,,
1.0,495.0,0.0,1.0,509.0,13214591,13208373,13207005,2023-05-05,,
1.0,510.0,0.0,1.0,489.0,13214559,13208377,13207005,2023-05-05,,
1.0,360.0,0.0,1.0,335.0,13214586,13216744,13207005,2023-05-05,,
1.0,510.0,0.0,1.0,539.0,13216822,13208372,13216152,2023-05-05,,
1.0,480.0,0.0,1.0,497.0,13214552,13208375,13207005,2023-05-05,,
1.0,480.0,1.0,1.0,422.0,13214535,13208371,13207005,2023-05-05,,
1.0,180.0,0.0,1.0,187.0,13214548,13208374,13207005,2023-05-05,,
1.0,450.0,0.0,1.0,421.0,13214527,13216744,13207005,2023-05-05,,
1.0,300.0,0.0,1.0,134.0,13214602,13208369,13207005,2023-05-05,,
1.0,320.0,0.0,1.0,305.0,13221168,13216742,13207005,2023-05-05,,
1.0,240.0,0.0,1.0,249.0,13221175,13216732,13207005,2023-05-05,,
1.0,375.0,0.0,1.0,404.0,13214574,13208368,13207005,2023-05-05,,
1.0,420.0,0.0,1.0,423.0,13226975,13216749,13207005,2023-05-05,,
1.0,285.0,0.0,1.0,308.0,13214531,13208370,13207005,2023-05-05,,
1.0,360.0,0.0,1.0,360.0,13214575,13208376,13207005,2023-05-05,,
1.0,360.0,0.0,1.0,375.0,13214554,13208376,13207005,2023-05-05,,
1.0,270.0,0.0,1.0,270.0,13214612,13216738,13207004,2023-05-05,,
1.0,330.0,0.0,1.0,305.0,13214551,13208374,13207005,2023-05-05,,
1.0,75.0,0.0,1.0,75.0,13214530,13208369,13207005,2023-05-05,,
1.0,240.0,0.0,1.0,222.0,13218912,13216739,13207005,2023-05-05,,
1.0,540.0,,,,13221159,13207018,13216152,2023-05-05,,
1.0,480.0,,,,13221157,13208376,13207004,2023-05-05,,
1.0,480.0,,,,13214587,13208377,13207005,2023-05-05,,
,,,,,13214599,13216738,13207005,2023-05-05,1.0,
1.0,510.0,0.0,1.0,542.0,13214572,13208371,13207004,2023-05-06,,
1.0,360.0,0.0,1.0,360.0,13221171,13216742,13207005,2023-05-06,,
1.0,360.0,0.0,1.0,294.0,13221164,13216742,13207004,2023-05-06,,
1.0,225.0,0.0,1.0,490.0,13214531,13208370,13207005,2023-05-06,,
1.0,300.0,0.0,1.0,261.0,13226587,13216742,13207005,2023-05-06,,
1.0,480.0,0.0,1.0,444.0,13221168,13216742,13207005,2023-05-06,,
1.0,360.0,0.0,1.0,358.0,13214553,13208375,13207005,2023-05-06,,
1.0,340.0,0.0,1.0,355.0,13214612,13216738,13207004,2023-05-06,,
1.0,435.0,0.0,1.0,444.0,13214543,13208373,13207005,2023-05-06,,
1.0,360.0,0.0,1.0,370.0,13214560,13208377,13207005,2023-05-06,,
1.0,255.0,0.0,1.0,268.0,13218821,13216732,13207005,2023-05-06,,
1.0,285.0,0.0,1.0,334.0,13214530,13208369,13207005,2023-05-06,,
1.0,480.0,0.0,1.0,451.0,13214540,13208372,13207005,2023-05-06,,
1.0,480.0,0.0,1.0,476.0,13214556,13208376,13207005,2023-05-06,,
1.0,360.0,0.0,1.0,378.0,13218912,13216739,13207005,2023-05-06,,
1.0,420.0,1.0,1.0,460.0,13226975,13216749,13207005,2023-05-06,,
1.0,450.0,0.0,1.0,465.0,13214522,13208368,13216464,2023-05-06,,
1.0,690.0,0.0,1.0,690.0,13214546,13208374,13207005,2023-05-06,,
